Voltage (V),Current density [mA/cm^2]
0,-16.085
0.008,-16.069
0.016,-16.0688
0.024,-16.0687
0.032,-16.0686
0.04,-16.0684
0.048,-16.0683
0.056,-16.0681
0.064,-16.068
0.072,-16.0678
0.08,-16.0677
0.088,-16.0675
0.096,-16.0673
0.104,-16.0672
0.112,-16.067
0.12,-16.0668
0.128,-16.0666
0.136,-16.0664
0.144,-16.0662
0.152,-16.066
0.16,-16.0658
0.168,-16.0656
0.176,-16.0654
0.184,-16.0652
0.192,-16.0649
0.2,-16.0647
0.208,-16.0645
0.216,-16.0642
0.224,-16.0639
0.232,-16.0637
0.24,-16.0634
0.248,-16.0631
0.256,-16.0628
0.264,-16.0625
0.272,-16.0621
0.28,-16.0618
0.288,-16.0615
0.296,-16.0611
0.304,-16.0607
0.312,-16.0603
0.32,-16.0599
0.328,-16.0595
0.336,-16.0591
0.344,-16.0586
0.352,-16.0581
0.36,-16.0576
0.368,-16.0571
0.376,-16.0566
0.384,-16.056
0.392,-16.0554
0.4,-16.0547
0.408,-16.0541
0.416,-16.0533
0.424,-16.0526
0.432,-16.0517
0.44,-16.0508
0.448,-16.0498
0.456,-16.0487
0.464,-16.0475
0.472,-16.0461
0.48,-16.0446
0.488,-16.0428
0.496,-16.0406
0.504,-16.0381
0.512,-16.0351
0.52,-16.0314
0.528,-16.0268
0.536,-16.021
0.544,-16.0137
0.552,-16.0044
0.56,-15.9924
0.568,-15.9769
0.576,-15.9566
0.584,-15.9299
0.592,-15.8947
0.6,-15.8482
0.608,-15.7864
0.616,-15.7042
0.624,-15.5947
0.632,-15.4485
0.64,-15.2533
0.648,-14.9925
0.656,-14.6441
0.664,-14.1791
0.672,-13.5596
0.68,-12.7358
0.688,-11.644
0.696,-10.2032
0.704,-8.31282
0.712,-5.85045
0.72,-2.67215
0.728,1.3847
0.736,6.4943
0.744,12.8305
0.752,20.5505
0.76,29.7759
0.768,40.5744
0.776,52.9464
0.784,66.8199
0.792,82.0536
0.8,98.4497
0.808,115.771
0.816,133.763
0.824,152.171
0.832,170.758
0.84,189.32
0.848,207.692
0.856,225.752
0.864,243.425
0.872,260.674
0.88,277.499
0.888,293.927
0.896,310.004
0.904,325.793
0.912,341.359
0.92,356.774
0.928,372.107
0.936,387.426
0.944,402.794
0.952,418.272
0.96,433.916
0.968,449.783
0.96,432.415
0.952,415.495
0.944,400.37
0.936,385.315
0.928,370.255
0.92,355.135
0.912,339.896
0.904,324.476
0.896,308.81
0.888,292.836
0.88,276.498
0.872,259.754
0.864,242.579
0.856,224.979
0.848,206.991
0.84,188.692
0.832,170.203
0.824,151.689
0.816,133.354
0.808,115.43
0.8,98.1704
0.792,81.8275
0.784,66.6365
0.776,52.7946
0.768,40.4431
0.76,29.6557
0.752,20.4341
0.744,12.713
0.736,6.37337
0.728,1.2597
0.72,-2.80061
0.712,-5.98116
0.704,-8.44436
0.696,-10.3343
0.688,-11.7734
0.68,-12.8628
0.672,-13.6836
0.664,-14.2999
0.656,-14.7613
0.648,-15.1061
0.64,-15.3633
0.632,-15.5551
0.624,-15.6979
0.616,-15.8042
0.608,-15.8833
0.6,-15.9421
0.592,-15.9859
0.584,-16.0184
0.576,-16.0425
0.568,-16.0605
0.56,-16.0738
0.552,-16.0836
0.544,-16.0909
0.536,-16.0963
0.528,-16.1002
0.52,-16.103
0.512,-16.1051
0.504,-16.1066
0.496,-16.1076
0.488,-16.1083
0.48,-16.1087
0.472,-16.109
0.464,-16.1091
0.456,-16.1091
0.448,-16.1091
0.44,-16.109
0.432,-16.1088
0.424,-16.1087
0.416,-16.1085
0.408,-16.1083
0.4,-16.1081
0.392,-16.1079
0.384,-16.1076
0.376,-16.1074
0.368,-16.1072
0.36,-16.107
0.352,-16.1068
0.344,-16.1066
0.336,-16.1064
0.328,-16.1062
0.32,-16.106
0.312,-16.1058
0.304,-16.1056
0.296,-16.1054
0.288,-16.1053
0.28,-16.1051
0.272,-16.1049
0.264,-16.1048
0.256,-16.1046
0.248,-16.1044
0.24,-16.1043
0.232,-16.1041
0.224,-16.104
0.216,-16.1039
0.208,-16.1037
0.2,-16.1036
0.192,-16.1035
0.184,-16.1033
0.176,-16.1032
0.168,-16.1031
0.16,-16.103
0.152,-16.1028
0.144,-16.1027
0.136,-16.1026
0.128,-16.1025
0.12,-16.1024
0.112,-16.1023
0.104,-16.1022
0.096,-16.1021
0.088,-16.102
0.08,-16.1019
0.072,-16.1018
0.064,-16.1017
0.056,-16.1016
0.048,-16.1015
0.04,-16.1014
0.032,-16.1013
0.024,-16.1012
0.016,-16.1011
0.008,-16.1011
